VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
23/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.033
24/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.033
25/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.033
26/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.033
27/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.033
30/09/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.033
02/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.033
03/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.033
04/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.033
07/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.033
08/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.033
09/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.033
10/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.033
11/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.033
15/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0331
16/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0331
17/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0331
18/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0331
21/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0331
22/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0331
23/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0331
24/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0331
25/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0331
28/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0331
29/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0331
30/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0331
31/10/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0331
01/11/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0331
04/11/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0333
05/11/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0332
06/11/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0332
07/11/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0335
08/11/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0335
11/11/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0337
12/11/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0336
